Station ID,Name,Latitude,Longitude,Number of Bikes Available,Station ID.1,Name.1,Category,LatitudeB,LongitudeB,Distance
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Club Absinthe,Night Club,43.256943,-79.867659,0.10707660994904324
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Hamilton Club,Night Club,43.255183,-79.869448,0.14117991833826518
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,K Point Karaoke & Bar,Arts and Entertainment,43.258247,-79.868158,0.2184917163508438
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,LOFT Lounge,Night Club,43.257617,-79.871251,0.2545698558070632
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Mighty Mikes Pub & Billiards,Pool Hall,43.254333,-79.865966,0.3104614864071106
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Tailgate Charlie's,Sports Bar,43.253962,-79.867155,0.2889460547382689
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,The French,Wine Bar,43.257347,-79.867496,0.14852841518676735
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undefined,Bar,43.257392,-79.867642,0.14538235179441297
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,0.3016787983269385
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,0.2889460547382689
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,B Me,Bar,43.259542,-79.868052,0.27452750116701924
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Bar Sazerac,Night Club,43.263456,-79.865886,0.19476094910984412
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Happy Hourz Pub,Pub,43.259965,-79.869097,0.2808090700068281
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,L'étranger on James,Arts and Entertainment,43.259535,-79.868144,0.2781994536402847
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Merit Brewing,Bar,43.25949,-79.867997,0.2782140527675466
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Nobody's Perfect Bar and Grill,Karaoke Bar,43.263367,-79.863413,0.3198803841505807
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Saint James Espresso Bar & Eatery,Bar,43.260862,-79.866884,0.10707362169494394
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,The Brain,Bar,43.261915,-79.867016,0.024520408785807888
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,The Green Smoothie Bar,Bar,43.262589,-79.866249,0.09446099215363682
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Zyla's Music and Menu,Music Venue,43.264002,-79.86607,0.2487329581924456
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,B Me,Bar,43.259542,-79.868052,0.3626465797896283
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,Club Absinthe,Night Club,43.256943,-79.867659,0.4067930249314688
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,K Point Karaoke & Bar,Arts and Entertainment,43.258247,-79.868158,0.3803939174559809
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,L'étranger on James,Arts and Entertainment,43.259535,-79.868144,0.36993271041959375
