Station ID,Name,Latitude,Longitude,Number of Bikes Available,Station ID.1,Name.1,Category,LatitudeB,LongitudeB,Rating,Distance
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Al Centro,['Italian'],43.25584,-79.8686,3.5,0.05327351097087978
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Anchor Bar,"['Bars', 'Chicken Wings', 'American (Traditional)']",43.25711,-79.86938,2.0,0.10556673501968533
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Earth to Table Bread Bar James,"['Salad', 'Pizza', 'Soup']",43.25734973,-79.86863941,4.0,0.11486660636823166
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Freshii,"['Salad', 'Vegetarian', 'Fast Food']",43.25711,-79.86938,1.0,0.10556673501968533
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Gino's Pizza,['Pizza'],43.25678,-79.86864,3.5,0.05153418445310782
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Hui Lau Shan,"['Desserts', 'Juice Bars & Smoothies']",43.2565164,-79.8680872,4.5,0.051679707953816816
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Kenzo,['Ramen'],43.2565481,-79.86819685,4.0,0.04571185768486441
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Laura Secord,"['Ice Cream & Frozen Yogurt', 'Chocolatiers & Shops']",43.2571529,-79.8692434,1.0,0.10414999412635714
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,National Pizza & Wings,"['Pizza', 'Chicken Wings']",43.25682,-79.86881,3.5,0.057189938041193475
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,iPho,['Vietnamese'],43.2571106,-79.8693771,4.0,0.10549365561323071
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Born and Raised,"['Seafood', 'American (Traditional)', 'Tapas Bars']",43.26235,-79.86626,3.5,0.07078512775452123
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Caro on James,"['Pizza', 'Italian']",43.262537,-79.86675,4.0,0.0797895723520666
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Charred Chicken,['Barbeque'],43.2627364,-79.8663839,4.0,0.10602718335769766
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Gate of India,"['Indian', 'Bangladeshi']",43.2618967,-79.866767,3.5,0.00880504033700853
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Granny's Place,"['Delis', 'Sandwiches']",43.26243,-79.8659,3.0,0.09627919214281586
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Mulberry Coffeehouse,"['Cafes', 'Sandwiches', 'Music Venues']",43.26183,-79.86699,4.0,0.020028191694081793
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Ola Bakery & Pastries,['Bakeries'],43.2623517,-79.86646316,4.5,0.06337547389221973
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Saint James Espresso Bar & Eatery,"['Cafes', 'Bakeries', 'Bars']",43.26098,-79.86693,4.5,0.09456202133655837
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,The Brain,['Bars'],43.26193,-79.86695,4.0,0.020780362385822187
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,Venturas Signatur Restaurant,['Restaurants'],43.26114,-79.8669,4.0,0.07661269511944138
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,8-Aug,"['Japanese', 'Dim Sum']",43.25943,-79.86708,4.0,0.2829868425598708
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,Dirty Dog Saloon,"['Bars', 'Dance Clubs']",43.2565632,-79.8648743,2.5,0.30117433379697156
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,French Confection Patisserie,['Bakeries'],43.25943,-79.86708,3.0,0.2829868425598708
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,NOODLE ME,['Noodles'],43.25943,-79.86708,4.0,0.2829868425598708
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,Nabil’s Grill,"['Middle Eastern', 'Fast Food']",43.25943,-79.86708,5.0,0.2829868425598708
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,OKO Bagels ,"['Bagels', 'Coffee & Tea', 'Sandwiches']",43.259918,-79.867288,5.0,0.3108282664748826
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,Pane Del Sole,['Bakeries'],43.26067,-79.8648599,3.5,0.20059880834206864
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,Pho Dui Bo,['Vietnamese'],43.2607974,-79.86656807,3.5,0.30400601426286467
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,Smalls Coffee,['Coffee & Tea'],43.2605099,-79.86695,4.5,0.3117892271260596
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2,hub_527,The Burnt Tongue,"['Burgers', 'Soup', 'Sandwiches']",43.2605786,-79.8669351,4.0,0.31463686373403293
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Domino's Pizza,"['Pizza', 'Chicken Wings', 'Sandwiches']",43.26274,-79.95276,1.0,0.403742970260264
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Dundas Shawarma,"['Lebanese', 'Mediterranean']",43.26572,-79.95234,3.0,0.21790850916965399
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,French Revolution Bakery & Crêperie,['Bakeries'],43.26608128,-79.9540855,4.5,0.36297737013058345
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Little Asia,"['Vegetarian', 'Vegan', 'Thai']",43.26567,-79.95219,4.5,0.20545351194104658
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']",43.26518805,-79.9497877,1.0,0.04502039504566963
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Pizza Pizza,"['Pizza', 'Italian', 'Chicken Wings']",43.265991,-79.950991,1.0,0.1173367402597418
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,The Red Door Cucina,"['Italian', 'Pizza']",43.26690899,-79.9544512,5.0,0.41542002847929166
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Thirsty Cactus Cantina & Grill,"['Mexican', 'Bars', 'Music Venues']",43.26592,-79.95353,3.5,0.31596867244582655
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Tim Horton,"['Bakeries', 'Coffee & Tea']",43.26595425,-79.94944634,1.0,0.04479362932560509
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11,hub_530,Tim Horton,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",43.26274,-79.95276,1.0,0.403742970260264
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,East Side Mario's,"['Italian', 'American (Traditional)', 'Pizza']",43.258489,-79.94142,2.0,0.15402584959497742
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Empress Wok,['Chinese'],43.25951,-79.9433823,2.0,0.05999327840979429
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Fat Bastard Burrito,['Mexican'],43.25951,-79.94338,2.0,0.05980753194485801
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Fionn MacCool's,['Irish Pub'],43.25849,-79.94142,2.0,0.15394072639074846
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Hazel Tea & Dessert House,"['Desserts', 'Bubble Tea']",43.25793,-79.9344799,4.0,0.6851714038463723
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,KFC,"['Chicken Shop', 'Chicken Wings', 'Fast Food']",43.25849,-79.94142,1.0,0.15394072639074846
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Osmow's,['Mediterranean'],43.25849,-79.94142,4.0,0.15394072639074846
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Popeyes Louisiana Chicken,"['Fast Food', 'Chicken Wings']",43.2564189,-79.9358334,1.0,0.652163977318964
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,The Great Canadian Bagel,['Bagels'],43.25951,-79.94338,3.5,0.05980753194485801
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1,hub_535,Yukiguni Izakaya,"['Sushi Bars', 'Japanese']",43.25793,-79.93448,2.0,0.6851635906296633
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,East Side Mario's,"['Italian', 'American (Traditional)', 'Pizza']",43.258489,-79.94142,2.0,0.7277887695981575
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,Fat Bastard Burrito,['Mexican'],43.25951,-79.94338,2.0,0.8787305496808108
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,Fionn MacCool's,['Irish Pub'],43.25849,-79.94142,2.0,0.7278981211281645
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,KFC,"['Chicken Shop', 'Chicken Wings', 'Fast Food']",43.25849,-79.94142,1.0,0.7278981211281645
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,Lee's Take Out & Delivery Service,"['Chinese', 'Imported Food']",43.25267,-79.93885,2.0,0.10255249382770813
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,Osmow's,['Mediterranean'],43.25849,-79.94142,4.0,0.7278981211281645
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,Right Wingers,['Chicken Wings'],43.2521846,-79.9398027,4.0,0.014739476451867557
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,The Lighthouse Fish and Chips,['Fish & Chips'],43.2525237,-79.9392691,3.5,0.06729956334134388
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,West End Diner,['Diners'],43.25276,-79.93857,4.0,0.12633309055681932
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6,hub_536,West Garden Chinese Food,['Chinese'],43.2479858,-79.9428787,1.0,0.5167496558436677
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Baskin Robbins,"['Ice Cream & Frozen Yogurt', 'Custom Cakes']",43.2565794,-79.93496301,3.5,0.0958778225797324
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Boston Pizza,"['Pizza', 'Italian', 'Chicken Wings']",43.25734918,-79.92774941,3.5,0.5245533223669371
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Fionn MacCool's,['Irish Pub'],43.25849,-79.94142,2.0,0.5986047991147997
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Hazel Tea & Dessert House,"['Desserts', 'Bubble Tea']",43.25793,-79.9344799,4.0,0.07794503250488127
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Joya Sushi,"['Sushi Bars', 'Japanese', 'Korean']",43.25663138,-79.9345614,4.0,0.07437732738838386
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Mr  Gao,['Chinese'],43.25740112,-79.92817005,3.5,0.4906551708426436
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Noodle Bar,"['Sushi Bars', 'Imported Food']",43.25544173,-79.92870029,2.5,0.49073125826855746
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2.0,0.47740987444346233
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Popeyes Louisiana Chicken,"['Fast Food', 'Chicken Wings']",43.2564189,-79.9358334,1.0,0.15992395841300774
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8,hub_537,Yukiguni Izakaya,"['Sushi Bars', 'Japanese']",43.25793,-79.93448,2.0,0.07794717295854531
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Baskin Robbins,"['Ice Cream & Frozen Yogurt', 'Custom Cakes']",43.2565794,-79.93496301,3.5,0.5269373984312488
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Hazel Tea & Dessert House,"['Desserts', 'Bubble Tea']",43.25793,-79.9344799,4.0,0.6800904887437265
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Joya Sushi,"['Sushi Bars', 'Japanese', 'Korean']",43.25663138,-79.9345614,4.0,0.5359453616055739
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Lee's Take Out & Delivery Service,"['Chinese', 'Imported Food']",43.25267,-79.93885,2.0,0.2923015188363764
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2.0,0.6686600123784904
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Popeyes Louisiana Chicken,"['Fast Food', 'Chicken Wings']",43.2564189,-79.9358334,1.0,0.5088929664348797
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Right Wingers,['Chicken Wings'],43.2521846,-79.9398027,4.0,0.3568755076196829
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,The Lighthouse Fish and Chips,['Fish & Chips'],43.2525237,-79.9392691,3.5,0.3205568959534895
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,West End Diner,['Diners'],43.25276,-79.93857,4.0,0.2743636118157888
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10,hub_538,Yukiguni Izakaya,"['Sushi Bars', 'Japanese']",43.25793,-79.93448,2.0,0.6800895822994504
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Boston Pizza,"['Pizza', 'Italian', 'Chicken Wings']",43.25734918,-79.92774941,3.5,0.227911760769255
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,CoCo Fresh Tea & Juice,"['Bubble Tea', 'Juice Bars & Smoothies']",43.257849,-79.9252604,5.0,0.381066748967724
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Hazel Tea & Dessert House,"['Desserts', 'Bubble Tea']",43.25793,-79.9344799,4.0,0.3899578477688669
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Joya Sushi,"['Sushi Bars', 'Japanese', 'Korean']",43.25663138,-79.9345614,4.0,0.45212938581891043
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Maccheroni Cucina Alfresco,['Italian'],43.2578,-79.9264199,4.0,0.29348182327960254
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Mr  Gao,['Chinese'],43.25740112,-79.92817005,3.5,0.20006281500031278
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Noodle Bar,"['Sushi Bars', 'Imported Food']",43.25544173,-79.92870029,2.5,0.3788757560634392
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2.0,0.3706312030714312
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Tim Horton Donuts,['Coffee & Tea'],43.25782,-79.92567,2.0,0.35012658790139145
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10,hub_539,Yukiguni Izakaya,"['Sushi Bars', 'Japanese']",43.25793,-79.93448,2.0,0.38996571922761697
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Boston Pizza,"['Pizza', 'Italian', 'Chicken Wings']",43.25734918,-79.92774941,3.5,0.30199262680915867
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,CoCo Fresh Tea & Juice,"['Bubble Tea', 'Juice Bars & Smoothies']",43.257849,-79.9252604,5.0,0.24888546815333673
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Dough Box,"['Pizza', 'Italian']",43.2574167,-79.9239487,4.0,0.34423419032063907
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,East Meets West Bistro,['Canadian (New)'],43.26248256,-79.92286111,2.5,0.41010939147785835
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Maccheroni Cucina Alfresco,['Italian'],43.2578,-79.9264199,4.0,0.23391406795602399
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Maple Leaf Pancake House,['Breakfast & Brunch'],43.25788,-79.92354,2.5,0.32761787462369557
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Mr  Gao,['Chinese'],43.25740112,-79.92817005,3.5,0.3100161198289216
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2.0,0.5265215839217332
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Tally Ho,"['Burgers', 'Fast Food', 'Sandwiches']",43.2577726,-79.9240784,4.0,0.306565539069284
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15,hub_540,Tim Horton Donuts,['Coffee & Tea'],43.25782,-79.92567,2.0,0.24076977923027376
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Basilique,"['Pizza', 'Salad', 'Sandwiches']",43.2611,-79.90732,3.5,0.17174154431232605
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Charlie’s Chopsticks,"['Bubble Tea', 'Sushi Bars', 'Dumplings']",43.26136,-79.90644,5.0,0.24863808460655337
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Chung Chun Rice Hot Dog,"['Korean', 'Hot Dogs']",43.26130144,-79.90695808,5.0,0.20744775019489206
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Cupcakes,['Bakeries'],43.26164,-79.90714,3.5,0.2132966305047175
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Cuppa Tea,['Bubble Tea'],43.2617903,-79.9069099,4.0,0.23816935561504077
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,OneZo Tapioca,['Bubble Tea'],43.26134456,-79.90691151,4.0,0.2128714432643474
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Pita Pit,['Sandwiches'],43.2614265,-79.9075946,5.0,0.1695377976225168
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,Sakura Tea,['Bubble Tea'],43.25847,-79.90874,3.0,0.23416675141630708
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,TCBY Hamilton,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.2611,-79.90732,4.0,0.17174154431232605
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7,hub_541,The Alley,['Bubble Tea'],43.26164,-79.90714,5.0,0.2132966305047175
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Basilique,"['Pizza', 'Salad', 'Sandwiches']",43.2611,-79.90732,3.5,0.5053582536658925
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Bridges Cafe,"['Vegetarian', 'Cafes']",43.2628019,-79.9176086,4.5,0.34944541394393774
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Caribbean Flavah,"['Caribbean', 'Soul Food']",43.25829,-79.91107,3.0,0.4756329130005179
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Mr Sub,"['Caterers', 'Sandwiches']",43.2581599,-79.91173,5.0,0.4712605152019511
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Pho Excellent,"['Vietnamese', 'Thai', 'Noodles']",43.2582044,-79.9108457,5.0,0.4916654752850949
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Pita Pit,['Sandwiches'],43.2614265,-79.9075946,5.0,0.4757369610358201
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Porcelain Hotpot & Lounge,"['Chinese', 'Bubble Tea', 'Hot Pot']",43.25829833,-79.911011,5.0,0.47667160104770095
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,TCBY Hamilton,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.2611,-79.90732,4.0,0.5053582536658925
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,Teriyaki Experience,"['Japanese', 'Food Court']",43.26336764,-79.91739526,3.0,0.3500537838885588
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9,hub_542,The Alley,['Bubble Tea'],43.26164,-79.90714,5.0,0.508352854008316
